"Transition Time","Transition Time"
"Select top or bottom position for description","Select top or bottom position for description"
"Top","Top"
"Bottom","Bottom"
"Transition Effect","Transition Effect"
"Slide Show","Slide Show"
"Fade In/Out","Fade In/Out"
"Links","Links"
"Description","Description"
"Width","Width"
"Folder Name","Folder Name"
"Set Top or Bottom","Set Top or Bottom"
"Select from Drop down","Select from Drop down"
" put the text by separator "," put the text by separator "
" put the text by separator |"," put the text by separator |"
"please provide folder name where images are stored","please provide folder name where images are stored"
